ExptColony,Source,InitialNumSpiders,TotalInitialMass,AvgLatency,AvgNum,Size,Treatment,Pair,FinalNumSpiders,PerCapitaMassInitial,Survival,NumRetreats,InitialTime,InitialNum,PropDaysPrey
40Sa,C40,30,0.125,19.3725,5.5,Small,Fence,16,13,0.004166667,Yes,1,19.3725,5.5,0.5
41La,C41,90,0.773,8.1225,5.75,Large,Fence,29,72,0.008588889,Yes,1,8.1225,5.75,0.363636364
41Sa,C41,30,0.24,17.4925,8.75,Small,Fence,11,23,0.008,Yes,1,17.4925,8.75,0.363636364
42La,C42,90,0.551,20.19,1.25,Large,Fence,6,80,0.006122222,Yes,1,20.19,1.25,0.409090909
43La,C43,90,0.622,9.1325,8,Large,Fence,27,75,0.006911111,Yes,1,9.1325,8,0.5
43Sa,C43,30,0.236,3.1175,5,Small,Fence,20,21,0.007866667,Yes,1,3.1175,5,0.090909091
44Sa,C44,30,0.1,10.3525,2,Small,Fence,1,23,0.003333333,Yes,1,10.3525,2,0.272727273
46Sa,C46,30,0.256,6.2975,4.75,Small,Fence,17,23,0.008533333,Yes,1,6.2975,4.75,0.318181818
47Sa,C47,30,0.311,8.97,5,Small,Fence,14,23,0.010366667,Yes,1,8.97,5,0.409090909
49Sa,C49,30,0.308,22.0425,1.75,Small,Fence,15,28,0.010266667,Yes,1,22.0425,1.75,0.272727273
51Sa,C51,30,0.248,8.97,2,Small,Fence,12,27,0.008266667,Yes,1,8.97,2,0.409090909
54Sa,C54,30,0.098,18.4925,4.75,Small,Fence,4,18,0.003266667,Yes,1,18.4925,4.75,0.363636364
56Sa,C56,30,0.235,6.595,4.5,Small,Fence,25,27,0.007833333,Yes,1,6.595,4.5,0.5
58La,C58,90,0.592,14.0425,7,Large,Fence,9,84,0.006577778,Yes,1,14.0425,7,0.5
63La,C63,90,0.52,9.5575,3.75,Large,Fence,24,41,0.005777778,Yes,1,9.5575,3.75,0.545454545
63Lc,C63,90,0.538,6.1,4.5,Large,Fence,26,66,0.005977778,Yes,1,6.1,4.5,0.772727273
64La,C64,90,0.432,10.3575,4.75,Large,Fence,21,78,0.0048,Yes,1,10.3575,4.75,0.454545455
64Lc,C64,90,0.426,9.39,4.5,Large,Fence,10,61,0.004733333,Yes,1,9.39,4.5,0.272727273
65La,C65,90,0.269,12.65,3.25,Large,Fence,8,42,0.002988889,Yes,1,12.65,3.25,0.590909091
66Sa,C66,30,0.116,6.8325,4.25,Small,Fence,7,14,0.003866667,Yes,1,6.8325,4.25,0.181818182
69La,C69,90,0.517,10.4625,1.75,Large,Fence,19,50,0.005744444,Yes,1,10.4625,1.75,0.363636364
69Lc,C69,90,0.489,15.145,4,Large,Fence,5,74,0.005433333,Yes,1,15.145,4,0.363636364
69Sa,C69,30,0.18,14.1625,4.5,Small,Fence,28,21,0.006,Yes,1,14.1625,4.5,0.363636364
70Sa,C70,30,0.079,12.9525,2.75,Small,Fence,30,19,0.002633333,Yes,1,12.9525,2.75,0.454545455
73La,C73,90,0.533,7.2275,5.75,Large,Fence,3,79,0.005922222,Yes,1,7.2275,5.75,0.363636364
76La,C76,90,0.464,9.415,5.25,Large,Fence,22,66,0.005155556,Yes,1,9.415,5.25,0.318181818
76Sa,C76,30,0.158,18.775,7,Small,Fence,13,26,0.005266667,Yes,1,18.775,7,0.272727273
77Sa,C77,30,0.112,11.61,2.5,Small,Fence,23,22,0.003733333,Yes,1,11.61,2.5,0.136363636
79La,C79,90,0.236,15.6475,4,Large,Fence,18,55,0.002622222,Yes,1,15.6475,4,0.19047619
40Sb,C40,30,0.123,4.3925,4.5,Small,Tree,14,0,0.0041,No,2,4.3925,4.5,0.363636364
43Sb,C43,30,0.236,9.48,2.5,Small,Tree,12,7,0.007866667,Yes,1,9.48,2.5,0.272727273
44Sb,C44,30,0.13,46.85,5.5,Small,Tree,11,0,0.004333333,No,2,46.85,5.5,0.285714286
46La,C46,90,0.844,5.3375,4.25,Large,Tree,3,20,0.009377778,Yes,1,5.3375,4.25,0.363636364
46Sb,C46,30,0.254,2.34,4.25,Small,Tree,25,2,0.008466667,Yes,2,2.34,4.25,0.136363636
47Sb,C48,30,0.311,2.705,2.5,Small,Tree,16,21,0.010366667,Yes,1,2.705,2.5,0.181818182
48Sa,C48,30,0.11,14.9675,6,Small,Tree,4,0,0.003666667,No,1,14.9675,6,0
49Sb,C49,30,0.28,5.3125,3.5,Small,Tree,1,23,0.009333333,Yes,1,5.3125,3.5,0.454545455
50La,C50,90,0.212,16.3725,5.75,Large,Tree,2,0,0.002355556,No,1,16.3725,5.75,0.2
52La,C52,90,0.873,5.445,8.25,Large,Tree,9,12,0.0097,Yes,1,5.445,8.25,0.318181818
54La,C54,90,0.276,17.235,6.75,Large,Tree,6,6,0.003066667,Yes,3,17.235,6.75,0.272727273
55La,C55,90,0.584,4.9925,4.25,Large,Tree,22,35,0.006488889,Yes,2,4.9925,4.25,0.5
56La,C56,90,0.736,3.9025,4.5,Large,Tree,19,0,0.008177778,No,2,3.9025,4.5,0.5
56Sb,C56,30,0.248,9.9975,8.75,Small,Tree,7,20,0.008266667,Yes,1,9.9975,8.75,0.227272727
57Sa,C57,30,0.175,7.47,2.25,Small,Tree,13,0,0.005833333,No,1,7.47,2.25,0.4375
59La,C59,90,0.471,12.17,4.75,Large,Tree,26,24,0.005233333,Yes,2,12.17,4.75,0.454545455
59Sa,C59,30,0.17,11.055,6.25,Small,Tree,15,1,0.005666667,Yes,1,11.055,6.25,0.318181818
63Lb,C63,90,0.51,3.8775,4,Large,Tree,29,61,0.005666667,Yes,1,3.8775,4,0.363636364
64Lb,C64,90,0.413,7.2825,8,Large,Tree,8,0,0.004588889,No,2,7.2825,8,0.1875
65Lb,C65,90,0.331,4.2725,5.25,Large,Tree,18,0,0.003677778,No,1,4.2725,5.25,0.3125
