SerialNumber,ExptColony,Source,ColonySize,Treatment,SizeTreatment,Pair,Date,Trial,Day,Latency,NumAttack
15,40Sa,C40,Small,Fence,SmallFence,16,08-11-17,1,A,12.88,1
74,40Sa,C40,Small,Fence,SmallFence,16,09-11-17,1,B,2.06,4
133,40Sa,C40,Small,Fence,SmallFence,16,17-11-17,2,A,77.14,4
192,40Sa,C40,Small,Fence,SmallFence,16,18-11-17,2,B,16.81,5
251,40Sa,C40,Small,Fence,SmallFence,16,24-11-17,3,A,3.57,4
310,40Sa,C40,Small,Fence,SmallFence,16,25-11-17,3,B,180,0
43,40Sb,C40,Small,Tree,SmallTree,14,08-11-17,1,A,8.34,6
102,40Sb,C40,Small,Tree,SmallTree,14,09-11-17,1,B,24.87,7
161,40Sb,C40,Small,Tree,SmallTree,14,17-11-17,2,A,NA,NA
220,40Sb,C40,Small,Tree,SmallTree,14,18-11-17,2,B,NA,NA
279,40Sb,C40,Small,Tree,SmallTree,14,24-11-17,3,A,NA,NA
338,40Sb,C40,Small,Tree,SmallTree,14,25-11-17,3,B,NA,NA
28,41La,C41,Large,Fence,LargeFence,29,08-11-17,1,A,6.53,5
87,41La,C41,Large,Fence,LargeFence,29,09-11-17,1,B,5.06,4
146,41La,C41,Large,Fence,LargeFence,29,17-11-17,2,A,18.03,6
205,41La,C41,Large,Fence,LargeFence,29,18-11-17,2,B,38.53,5
264,41La,C41,Large,Fence,LargeFence,29,24-11-17,3,A,7.41,9
323,41La,C41,Large,Fence,LargeFence,29,25-11-17,3,B,6.5,5
10,41Sa,C41,Small,Fence,SmallFence,11,08-11-17,1,A,17.28,4
69,41Sa,C41,Small,Fence,SmallFence,11,09-11-17,1,B,13.56,6
128,41Sa,C41,Small,Fence,SmallFence,11,17-11-17,2,A,19.5,4
187,41Sa,C41,Small,Fence,SmallFence,11,18-11-17,2,B,39.56,4
246,41Sa,C41,Small,Fence,SmallFence,11,24-11-17,3,A,35.97,8
305,41Sa,C41,Small,Fence,SmallFence,11,25-11-17,3,B,13.59,2
5,42La,C42,Large,Fence,LargeFence,6,08-11-17,1,A,5.63,6
64,42La,C42,Large,Fence,LargeFence,6,09-11-17,1,B,10.69,2
123,42La,C42,Large,Fence,LargeFence,6,17-11-17,2,A,11.1,8
182,42La,C42,Large,Fence,LargeFence,6,18-11-17,2,B,3,3
241,42La,C42,Large,Fence,LargeFence,6,24-11-17,3,A,12.34,14
300,42La,C42,Large,Fence,LargeFence,6,25-11-17,3,B,23.62,6
26,43La,C43,Large,Fence,LargeFence,27,08-11-17,1,A,4.5,4
85,43La,C43,Large,Fence,LargeFence,27,09-11-17,1,B,6.68,20
144,43La,C43,Large,Fence,LargeFence,27,17-11-17,2,A,57.4,2
203,43La,C43,Large,Fence,LargeFence,27,18-11-17,2,B,10.56,15
262,43La,C43,Large,Fence,LargeFence,27,24-11-17,3,A,3.5,8
321,43La,C43,Large,Fence,LargeFence,27,25-11-17,3,B,6.78,9
19,43Sa,C43,Small,Fence,SmallFence,20,08-11-17,1,A,24.65,4
78,43Sa,C43,Small,Fence,SmallFence,20,09-11-17,1,B,3.97,1
137,43Sa,C43,Small,Fence,SmallFence,20,17-11-17,2,A,14.16,1
196,43Sa,C43,Small,Fence,SmallFence,20,18-11-17,2,B,20.13,1
255,43Sa,C43,Small,Fence,SmallFence,20,24-11-17,3,A,15.1,4
314,43Sa,C43,Small,Fence,SmallFence,20,25-11-17,3,B,140.16,1
41,43Sb,C43,Small,Tree,SmallTree,12,08-11-17,1,A,22.41,1
100,43Sb,C43,Small,Tree,SmallTree,12,09-11-17,1,B,8.91,4
159,43Sb,C43,Small,Tree,SmallTree,12,17-11-17,2,A,8.4,5
218,43Sb,C43,Small,Tree,SmallTree,12,18-11-17,2,B,4.62,4
277,43Sb,C43,Small,Tree,SmallTree,12,24-11-17,3,A,43.5,5
336,43Sb,C43,Small,Tree,SmallTree,12,25-11-17,3,B,128.47,1
1,44Sa,C44,Small,Fence,SmallFence,1,08-11-17,1,A,42.22,6
60,44Sa,C44,Small,Fence,SmallFence,1,09-11-17,1,B,40.94,2
119,44Sa,C44,Small,Fence,SmallFence,1,17-11-17,2,A,10.29,2
178,44Sa,C44,Small,Fence,SmallFence,1,18-11-17,2,B,2.72,4
237,44Sa,C44,Small,Fence,SmallFence,1,24-11-17,3,A,13.47,8
296,44Sa,C44,Small,Fence,SmallFence,1,25-11-17,3,B,5.68,1
40,44Sb,C44,Small,Tree,SmallTree,11,08-11-17,1,A,62.5,2
99,44Sb,C44,Small,Tree,SmallTree,11,09-11-17,1,B,4.78,6
158,44Sb,C44,Small,Tree,SmallTree,11,17-11-17,2,A,NA,NA
217,44Sb,C44,Small,Tree,SmallTree,11,18-11-17,2,B,NA,NA
276,44Sb,C44,Small,Tree,SmallTree,11,24-11-17,3,A,NA,NA
335,44Sb,C44,Small,Tree,SmallTree,11,25-11-17,3,B,NA,NA
32,46La,C46,Large,Tree,LargeTree,3,08-11-17,1,A,10.25,1
91,46La,C46,Large,Tree,LargeTree,3,09-11-17,1,B,15.6,4
150,46La,C46,Large,Tree,LargeTree,3,17-11-17,2,A,13.57,4
209,46La,C46,Large,Tree,LargeTree,3,18-11-17,2,B,18.66,3
268,46La,C46,Large,Tree,LargeTree,3,24-11-17,3,A,30.16,7
327,46La,C46,Large,Tree,LargeTree,3,25-11-17,3,B,23.15,6
16,46Sa,C46,Small,Fence,SmallFence,17,08-11-17,1,A,6.57,4
75,46Sa,C46,Small,Fence,SmallFence,17,09-11-17,1,B,1.81,6
134,46Sa,C46,Small,Fence,SmallFence,17,17-11-17,2,A,5.91,1
193,46Sa,C46,Small,Fence,SmallFence,17,18-11-17,2,B,10.13,7
252,46Sa,C46,Small,Fence,SmallFence,17,24-11-17,3,A,3.22,6
311,46Sa,C46,Small,Fence,SmallFence,17,25-11-17,3,B,26.34,8
54,46Sb,C46,Small,Tree,SmallTree,25,08-11-17,1,A,3,7
113,46Sb,C46,Small,Tree,SmallTree,25,09-11-17,1,B,26.85,1
172,46Sb,C46,Small,Tree,SmallTree,25,17-11-17,2,A,NA,NA
231,46Sb,C46,Small,Tree,SmallTree,25,18-11-17,2,B,NA,NA
290,46Sb,C46,Small,Tree,SmallTree,25,24-11-17,3,A,37.75,1
349,46Sb,C46,Small,Tree,SmallTree,25,25-11-17,3,B,19.43,1
13,47Sa,C47,Small,Fence,SmallFence,14,08-11-17,1,A,5.09,3
72,47Sa,C47,Small,Fence,SmallFence,14,09-11-17,1,B,3.85,5
131,47Sa,C47,Small,Fence,SmallFence,14,17-11-17,2,A,5.84,1
190,47Sa,C47,Small,Fence,SmallFence,14,18-11-17,2,B,11.93,3
249,47Sa,C47,Small,Fence,SmallFence,14,24-11-17,3,A,3.75,7
308,47Sa,C47,Small,Fence,SmallFence,14,25-11-17,3,B,3.09,3
45,47Sb,C47,Small,Tree,SmallTree,16,08-11-17,1,A,15.53,1
104,47Sb,C47,Small,Tree,SmallTree,16,09-11-17,1,B,18.03,4
163,47Sb,C47,Small,Tree,SmallTree,16,17-11-17,2,A,20.32,1
222,47Sb,C47,Small,Tree,SmallTree,16,18-11-17,2,B,5.25,2
281,47Sb,C47,Small,Tree,SmallTree,16,24-11-17,3,A,31.66,5
340,47Sb,C47,Small,Tree,SmallTree,16,25-11-17,3,B,2.93,3
33,48Sa,C48,Small,Tree,SmallTree,4,08-11-17,1,A,17.06,2
92,48Sa,C48,Small,Tree,SmallTree,4,09-11-17,1,B,180,0
151,48Sa,C48,Small,Tree,SmallTree,4,17-11-17,2,A,NA,NA
210,48Sa,C48,Small,Tree,SmallTree,4,18-11-17,2,B,NA,NA
269,48Sa,C48,Small,Tree,SmallTree,4,24-11-17,3,A,NA,NA
328,48Sa,C48,Small,Tree,SmallTree,4,25-11-17,3,B,NA,NA
14,49Sa,C49,Small,Fence,SmallFence,15,08-11-17,1,A,15.5,2
73,49Sa,C49,Small,Fence,SmallFence,15,09-11-17,1,B,1.69,5
132,49Sa,C49,Small,Fence,SmallFence,15,17-11-17,2,A,32.75,4
191,49Sa,C49,Small,Fence,SmallFence,15,18-11-17,2,B,4.6,2
250,49Sa,C49,Small,Fence,SmallFence,15,24-11-17,3,A,4.07,1
309,49Sa,C49,Small,Fence,SmallFence,15,25-11-17,3,B,2.12,4
30,49Sb,C49,Small,Tree,SmallTree,1,08-11-17,1,A,18.35,2
89,49Sb,C49,Small,Tree,SmallTree,1,09-11-17,1,B,14.06,4
148,49Sb,C49,Small,Tree,SmallTree,1,17-11-17,2,A,180,0
207,49Sb,C49,Small,Tree,SmallTree,1,18-11-17,2,B,10.16,3
266,49Sb,C49,Small,Tree,SmallTree,1,24-11-17,3,A,59.28,3
325,49Sb,C49,Small,Tree,SmallTree,1,25-11-17,3,B,10.31,6
31,50La,C50,Large,Tree,LargeTree,2,08-11-17,1,A,14.97,8
90,50La,C50,Large,Tree,LargeTree,2,09-11-17,1,B,5.5,6
149,50La,C50,Large,Tree,LargeTree,2,17-11-17,2,A,180,0
208,50La,C50,Large,Tree,LargeTree,2,18-11-17,2,B,NA,NA
267,50La,C50,Large,Tree,LargeTree,2,24-11-17,3,A,NA,NA
326,50La,C50,Large,Tree,LargeTree,2,25-11-17,3,B,NA,NA
11,51Sa,C51,Small,Fence,SmallFence,12,08-11-17,1,A,13.87,5
70,51Sa,C51,Small,Fence,SmallFence,12,09-11-17,1,B,1.47,6
129,51Sa,C51,Small,Fence,SmallFence,12,17-11-17,2,A,165.47,1
188,51Sa,C51,Small,Fence,SmallFence,12,18-11-17,2,B,5.35,3
247,51Sa,C51,Small,Fence,SmallFence,12,24-11-17,3,A,5.75,6
306,51Sa,C51,Small,Fence,SmallFence,12,25-11-17,3,B,1.19,1
38,52La,C52,Large,Tree,LargeTree,9,08-11-17,1,A,9.37,3
97,52La,C52,Large,Tree,LargeTree,9,09-11-17,1,B,9.69,4
156,52La,C52,Large,Tree,LargeTree,9,17-11-17,2,A,NA,NA
215,52La,C52,Large,Tree,LargeTree,9,18-11-17,2,B,NA,NA
274,52La,C52,Large,Tree,LargeTree,9,24-11-17,3,A,79.69,2
333,52La,C52,Large,Tree,LargeTree,9,25-11-17,3,B,22.62,2
35,54La,C54,Large,Tree,LargeTree,6,08-11-17,1,A,82.97,4
94,54La,C54,Large,Tree,LargeTree,6,09-11-17,1,B,27.44,19
153,54La,C54,Large,Tree,LargeTree,6,17-11-17,2,A,180,0
212,54La,C54,Large,Tree,LargeTree,6,18-11-17,2,B,9.31,7
271,54La,C54,Large,Tree,LargeTree,6,24-11-17,3,A,50.78,2
330,54La,C54,Large,Tree,LargeTree,6,25-11-17,3,B,12.5,2
3,54Sa,C54,Small,Fence,SmallFence,4,08-11-17,1,A,24.19,5
62,54Sa,C54,Small,Fence,SmallFence,4,09-11-17,1,B,4.6,5
121,54Sa,C54,Small,Fence,SmallFence,4,17-11-17,2,A,116.28,4
180,54Sa,C54,Small,Fence,SmallFence,4,18-11-17,2,B,11.41,8
239,54Sa,C54,Small,Fence,SmallFence,4,24-11-17,3,A,9.29,2
298,54Sa,C54,Small,Fence,SmallFence,4,25-11-17,3,B,5.6,2
51,55La,C55,Large,Tree,LargeTree,22,08-11-17,1,A,10.69,3
110,55La,C55,Large,Tree,LargeTree,22,09-11-17,1,B,8.35,2
169,55La,C55,Large,Tree,LargeTree,22,17-11-17,2,A,20.22,1
228,55La,C55,Large,Tree,LargeTree,22,18-11-17,2,B,14.81,7
287,55La,C55,Large,Tree,LargeTree,22,24-11-17,3,A,7.62,1
346,55La,C55,Large,Tree,LargeTree,22,25-11-17,3,B,4.75,4
48,56La,C56,Large,Tree,LargeTree,19,08-11-17,1,A,5.75,1
107,56La,C56,Large,Tree,LargeTree,19,09-11-17,1,B,3.41,8
166,56La,C56,Large,Tree,LargeTree,19,17-11-17,2,A,NA,NA
225,56La,C56,Large,Tree,LargeTree,19,18-11-17,2,B,NA,NA
284,56La,C56,Large,Tree,LargeTree,19,24-11-17,3,A,NA,NA
343,56La,C56,Large,Tree,LargeTree,19,25-11-17,3,B,NA,NA
24,56Sa,C56,Small,Fence,SmallFence,25,08-11-17,1,A,10.65,1
