SerialNumber,Date,ColonyID,Source,Batch,Treatment,Window,Situation,Trial,Latency,Number,Fused
20,1/18/2018,Grob12c1,Grob12,1,Tree,No,Cup,1,106.25,1,1
44,1/19/2018,Grob12c1,Grob12,1,Tree,No,Cup,2,17.13,1,1
69,1/23/2018,Grob12c1,Grob12,1,Tree,No,Pre,3,133.37,3,1
81,1/26/2018,Grob12c1,Grob12,1,Tree,No,Pre,4,11.5,2,1
105,1/31/2018,Grob12c1,Grob12,1,Tree,No,Trial,6,29.5,6,1
120,02-01-18,Grob12c1,Grob12,1,Tree,No,Trial,7,8.78,1,1
132,02-02-18,Grob12c1,Grob12,1,Tree,No,Trial,8,3.22,5,1
145,02-06-18,Grob12c1,Grob12,1,Tree,No,TrialWindA,9,12.75,1,1
159,02-07-18,Grob12c1,Grob12,1,Tree,No,TrialWindB,10,13.34,1,1
170,02-08-18,Grob12c1,Grob12,1,Tree,No,TrialWindA,11,21.25,1,1
185,02-09-18,Grob12c1,Grob12,1,Tree,No,TrialWindB,12,14.93,1,1
21,1/18/2018,Grob12c2,Grob12,1,Fence,Window,Cup,1,180,0,0
53,1/19/2018,Grob12c2,Grob12,1,Fence,Window,Cup,2,180,0,0
67,1/23/2018,Grob12c2,Grob12,1,Fence,Window,Pre,3,9.82,6,0
83,1/26/2018,Grob12c2,Grob12,1,Fence,Window,Pre,4,6.79,4,0
94,1/30/2018,Grob12c2,Grob12,1,Fence,Window,Trial,5,8,3,0
106,1/31/2018,Grob12c2,Grob12,1,Fence,Window,Trial,6,16.44,2,0
121,02-01-18,Grob12c2,Grob12,1,Fence,Window,Trial,7,4.91,4,0
133,02-02-18,Grob12c2,Grob12,1,Fence,Window,Trial,8,3.71,4,0
147,02-06-18,Grob12c2,Grob12,1,Fence,Window,TrialWindA,9,71.66,2,0
160,02-07-18,Grob12c2,Grob12,1,Fence,Window,TrialWindB,10,12.4,1,0
172,02-08-18,Grob12c2,Grob12,1,Fence,Window,TrialWindA,11,24.68,3,0
186,02-09-18,Grob12c2,Grob12,1,Fence,Window,TrialWindB,12,26.41,3,0
190,02-09-18,Grob14c1,Grob14,3,Tree,Window,Cup,2,5.34,4,0
350,03-06-18,Grob14c1,Grob14,3,Tree,Window,Pre,3,3.53,3,0
362,03-09-18,Grob14c1,Grob14,3,Tree,Window,Pre,4,1.78,4,0
379,3/13/2018,Grob14c1,Grob14,3,Tree,Window,Trial,5,15.03,3,0
390,3/14/2018,Grob14c1,Grob14,3,Tree,Window,Trial,6,7.12,2,0
406,3/15/2018,Grob14c1,Grob14,3,Tree,Window,Trial,7,3.12,1,0
416,3/16/2018,Grob14c1,Grob14,3,Tree,Window,Trial,8,18.44,7,0
432,3/20/2018,Grob14c1,Grob14,3,Tree,Window,TrialWindA,9,31.47,8,0
445,3/21/2018,Grob14c1,Grob14,3,Tree,Window,TrialWindB,10,180,5,0
455,3/22/2018,Grob14c1,Grob14,3,Tree,Window,TrialWindA,11,8.06,2,0
468,3/23/2018,Grob14c1,Grob14,3,Tree,Window,TrialWindB,12,8.59,4,0
22,1/18/2018,Grob2c1,Grob2,2,Tree,No,Cup,1,180,0,0
215,2/13/2018,Grob2c1,Grob2,2,Tree,No,Cup,2,21.37,2,0
216,2/16/2018,Grob2c1,Grob2,2,Tree,No,Pre,4,3.82,6,0
243,2/20/2018,Grob2c1,Grob2,2,Tree,No,Trial,5,6.56,3,0
244,2/21/2018,Grob2c1,Grob2,2,Tree,No,Trial,6,3.1,2,0
265,2/23/2018,Grob2c1,Grob2,2,Tree,No,Trial,8,2.41,3,0
292,2/27/2018,Grob2c1,Grob2,2,Tree,No,TrialWindA,9,23.25,2,0
306,2/28/2018,Grob2c1,Grob2,2,Tree,No,TrialWindB,10,4.85,2,0
307,03-01-18,Grob2c1,Grob2,2,Tree,No,TrialWindA,11,2.88,1,0
321,03-02-18,Grob2c1,Grob2,2,Tree,No,TrialWindB,12,38.69,4,0
35,1/18/2018,Grob4c1,Grob4,2,Fence,Window,Cup,1,180,0,0
201,02-09-18,Grob4c1,Grob4,2,Fence,Window,Cup,2,6.5,2,0
203,2/13/2018,Grob4c1,Grob4,2,Fence,Window,Pre,3,4.09,1,0
228,2/16/2018,Grob4c1,Grob4,2,Fence,Window,Pre,4,4.13,2,0
231,2/20/2018,Grob4c1,Grob4,2,Fence,Window,Trial,5,29.31,4,0
256,2/21/2018,Grob4c1,Grob4,2,Fence,Window,Trial,6,26.53,3,0
259,2/22/2018,Grob4c1,Grob4,2,Fence,Window,Trial,7,30,3,0
277,2/23/2018,Grob4c1,Grob4,2,Fence,Window,Trial,8,79,4,0
280,2/27/2018,Grob4c1,Grob4,2,Fence,Window,TrialWindA,9,25.53,9,0
294,2/28/2018,Grob4c1,Grob4,2,Fence,Window,TrialWindB,10,38.22,5,0
319,03-01-18,Grob4c1,Grob4,2,Fence,Window,TrialWindA,11,7.03,3,0
333,03-02-18,Grob4c1,Grob4,2,Fence,Window,TrialWindB,12,6.81,4,0
38,1/18/2018,Grob4c10,Grob4,3,Fence,No,Cup,1,180,0,0
338,03-02-18,Grob4c10,Grob4,3,Fence,No,Cup,2,6.18,2,0
349,03-06-18,Grob4c10,Grob4,3,Fence,No,Pre,3,8.96,3,0
366,03-09-18,Grob4c10,Grob4,3,Fence,No,Pre,4,22.75,4,0
377,3/13/2018,Grob4c10,Grob4,3,Fence,No,Trial,5,49.06,2,0
394,3/14/2018,Grob4c10,Grob4,3,Fence,No,Trial,6,7.94,2,0
405,3/15/2018,Grob4c10,Grob4,3,Fence,No,Trial,7,8.41,2,0
420,3/16/2018,Grob4c10,Grob4,3,Fence,No,Trial,8,8.87,1,0
430,3/20/2018,Grob4c10,Grob4,3,Fence,No,TrialWindA,9,89.59,5,0
443,3/21/2018,Grob4c10,Grob4,3,Fence,No,TrialWindB,10,40.47,6,0
460,3/22/2018,Grob4c10,Grob4,3,Fence,No,TrialWindA,11,17.25,5,0
473,3/23/2018,Grob4c10,Grob4,3,Fence,No,TrialWindB,12,7.38,2,0
24,1/18/2018,Grob4c11,Grob4,1,Fence,Window,Cup,1,180,0,0
42,1/19/2018,Grob4c11,Grob4,1,Fence,Window,Cup,2,180,0,0
60,1/23/2018,Grob4c11,Grob4,1,Fence,Window,Pre,3,105.09,2,0
74,1/26/2018,Grob4c11,Grob4,1,Fence,Window,Pre,4,85.47,1,0
89,1/30/2018,Grob4c11,Grob4,1,Fence,Window,Trial,5,37.43,5,0
101,1/31/2018,Grob4c11,Grob4,1,Fence,Window,Trial,6,25.94,5,0
114,02-01-18,Grob4c11,Grob4,1,Fence,Window,Trial,7,19.47,2,0
